--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        4.846K         4.887K        |   320   50.1      0    0.0   54.2 
        4.537K         4.887K        |   321   50.3      0    0.0   54.4 
        6.285K         4.887K        |   322   50.5      0    0.0   54.6 
        3.903K         4.887K        |   323   50.7      0    0.0   54.8 
        3.918K         4.887K        |   324   50.8      0    0.0   55.0 
        3.728K         4.886K        |   325   51.0      0    0.0   55.1 
        6.144K         4.886K        |   326   51.2      0    0.0   55.3 
        6.573K         4.886K        |   327   51.4      0    0.0   55.5 
        3.729K         4.886K        |   328   51.6      0    0.0   55.7 
        3.474K         4.886K        |   329   51.8      0    0.0   55.9 
        4.456K         4.886K        |   330   52.0      0    0.0   56.1 
        6.105K         4.886K        |   331   52.2      0    0.0   56.3 
        4.863K         4.885K        |   332   52.4      0    0.0   56.5 
        3.348K         4.885K        |   333   52.6      0    0.0   56.7 
        5.357K         4.885K        |   334   52.8      0    0.0   56.9 
        3.920K         4.885K        |   335   53.0      0    0.0   57.1 
        4.166K         4.885K        |   336   53.2      0    0.0   57.3 
        3.872K         4.885K        |   337   53.4      0    0.0   57.5 
        5.727K         4.885K        |   338   53.6      0    0.0   57.7 
        3.603K         4.885K        |   339   53.8      0    0.0   57.9 
        4.641K         4.885K        |   340   54.0      0    0.0   58.1 
        6.021K         4.885K        |   341   54.2      0    0.0   58.3 
        5.819K         4.885K        |   342   54.4      0    0.0   58.5 
        3.596K         4.885K        |   343   54.6      0    0.0   58.7 
        7.498K         4.885K        |   344   54.8      0    0.0   58.9 
        4.186K         4.885K        |   345   55.0      0    0.0   59.1 
        5.430K         4.885K        |   346   55.2      0    0.0   59.3 
        2.802K         4.884K        |   347   55.4      0    0.0   59.5 
        5.264K         4.884K        |   348   55.6      0    0.0   59.7 
        2.939K         4.884K        |   349   55.8      0    0.0   59.9 
        6.171K         4.884K        |   350   56.0      0    0.0   60.7 
       -3.489K         4.884K        |   351   56.2      0    0.0   60.9 
        7.373K         4.884K        |   352   56.4      0    0.0   61.1 
        3.979K         4.884K        |   353   56.6      0    0.0   61.2 
        7.177K         4.884K        |   354   56.7      0    0.0   61.4 
        6.461K         4.884K        |   355   56.9      0    0.0   61.6 
        3.777K         4.884K        |   356   57.1      0    0.0   61.8 
        3.708K         4.884K        |   357   57.3      0    0.0   62.0 
        2.583K         4.884K        |   358   57.5      0    0.0   62.2 
        7.595K         4.884K        |   359   57.7      0    0.0   62.4 
        4.221K         4.884K        |   360   57.9      0    0.0   62.6 
        6.270K         4.884K        |   361   58.1      0    0.0   62.8 
        6.670K         4.884K        |   362   58.3      0    0.0   63.0 
        6.560K         4.884K        |   363   58.5      0    0.0   63.2 
        4.988K         4.884K        |   364   58.6      0    0.0   63.3 
        4.736K         4.884K        |   365   58.8      0    0.0   63.5 
        3.874K         4.884K        |   366   59.0      0    0.0   63.7 
        4.876K         4.884K        |   367   59.2      0    0.0   63.9 
        4.068K         4.884K        |   368   59.4      0    0.0   64.1 
        4.906K         4.884K        |   369   59.6      0    0.0   64.3 
        2.976K         4.884K        |   370   59.8      0    0.0   64.5 
        2.258K         4.884K        |   371   60.0      0    0.0   64.7 
        3.797K         4.884K        |   372   60.2      0    0.0   64.9 
        3.852K         4.884K        |   373   60.4      0    0.0   65.1 
        2.463K         4.883K        |   374   60.6      0    0.0   65.3 
        4.378K         4.883K        |   375   60.8      0    0.0   65.5 
        2.820K         4.883K        |   376   61.0      0    0.0   65.8 
        6.313K         4.883K        |   377   61.2      0    0.0   66.0 
        4.676K         4.883K        |   378   61.4      0    0.0   66.2 
        6.243K         4.883K        |   379   61.6      0    0.0   66.4 
        7.460K         4.883K        |   380   61.8      0    0.0   66.6 
        6.056K         4.883K        |   381   62.1      0    0.0   66.8 
        3.840K         4.883K        |   382   62.3      0    0.0   67.0 
        5.879K         4.883K        |   383   62.5      0    0.0   67.2 
        5.160K         4.883K        |   384   62.7      0    0.0   67.4 
        4.957K         4.883K        |   385   62.9      0    0.0   67.6 
        4.209K         4.883K        |   386   63.1      0    0.0   67.8 
        3.389K         4.883K        |   387   63.3      0    0.0   68.0 
        6.077K         4.882K        |   388   63.5      0    0.0   68.3 
        2.313K         4.882K        |   389   63.7      0    0.0   68.5 
        3.766K         4.882K        |   390   63.9      0    0.0   68.7 
        5.279K         4.882K        |   391   64.1      0    0.0   68.9 
        7.070K         4.882K        |   392   64.4      0    0.0   69.1 
        6.298K         4.882K        |   393   64.6      0    0.0   69.3 
        2.534K         4.882K        |   394   64.8      0    0.0   69.5 
        6.854K         4.882K        |   395   65.0      0    0.0   69.7 
        5.904K         4.882K        |   396   65.2      0    0.0   69.9 
        6.061K         4.882K        |   397   65.4      0    0.0   70.2 
        2.925K         4.882K        |   398   65.6      0    0.0   70.4 
        6.463K         4.882K        |   399   65.9      0    0.0   70.6 
        5.580K         4.881K        |   400   66.1      0    0.0   71.4 
        2.039K         4.881K        |   401   66.3      0    0.0   71.7 
        5.685K         4.881K        |   402   66.5      0    0.0   71.8 
        3.778K         4.881K        |   403   66.7      0    0.0   72.0 
        3.524K         4.881K        |   404   66.9      0    0.0   72.2 
        4.168K         4.881K        |   405   67.1      0    0.0   72.4 
        6.810K         4.881K        |   406   67.3      0    0.0   72.6 
        2.525K         4.881K        |   407   67.5      0    0.0   72.8 
        3.315K         4.881K        |   408   67.7      0    0.0   73.0 
        4.908K         4.881K        |   409   67.9      0    0.0   73.2 
        5.234K         4.881K        |   410   68.1      0    0.0   73.4 
        2.255K         4.881K        |   411   68.3      0    0.0   73.6 
        6.443K         4.881K        |   412   68.5      0    0.0   73.8 
        2.738K         4.881K        |   413   68.7      0    0.0   74.0 
        3.978K         4.881K        |   414   68.9      0    0.0   74.2 
        5.481K         4.881K        |   415   69.1      0    0.0   74.4 
        3.832K         4.881K        |   416   69.3      0    0.0   74.6 
        6.516K         4.881K        |   417   69.5      0    0.0   74.8 
        3.966K         4.881K        |   418   69.7      0    0.0   75.1 
        3.899K         4.881K        |   419   69.9      0    0.0   75.3 
        7.358K         4.881K        |   420   70.1      0    0.0   75.5 
        4.762K         4.881K        |   421   70.3      0    0.0   75.7 
        2.906K         4.881K        |   422   70.5      0    0.0   75.9 
        3.970K         4.881K        |   423   70.8      0    0.0   76.1 
        3.551K         4.881K        |   424   71.0      0    0.0   76.3 
        4.722K         4.880K        |   425   71.2      0    0.0   76.5 
        3.353K         4.880K        |   426   71.4      0    0.0   76.7 
        7.372K         4.880K        |   427   71.6      0    0.0   76.9 
        7.355K         4.880K        |   428   71.8      0    0.0   77.1 
        4.882K         4.880K        |   429   72.0      0    0.0   77.4 
        6.096K         4.880K        |   430   72.2      0    0.0   77.6 
        4.141K         4.880K        |   431   72.4      0    0.0   77.8 
        5.887K         4.880K        |   432   72.7      0    0.0   78.0 
        3.514K         4.880K        |   433   72.9      0    0.0   78.2 
        7.276K         4.880K        |   434   73.1      0    0.0   78.5 
