Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Station,Date(NZST),Percent(%),Depth(cm)

Evaporation (Priestley-Taylor ET)
Station,Date(NZST),Amount(mm),Period(Hrs),Type
1615,19980421:0900,1.1,24,T
1615,19980422:0900,1.2,24,T
1615,19980423:0900,1.0,24,T
1615,19980424:0900,0.5,24,T
1615,19980425:0900,1.6,24,T
1615,19980426:0900,0.7,24,T
1615,19980427:0900,1.7,24,T
1615,19980428:0900,0.8,24,T
1615,19980429:0900,1.6,24,T
1615,19980430:0900,1.1,24,T
1615,19980501:0900,1.4,24,T
1615,19980502:0900,0.9,24,T
1615,19980503:0900,1.0,24,T
1615,19980504:0900,1.0,24,T
1615,19980505:0900,1.0,24,T
1615,19980506:0900,1.0,24,T
1615,19980507:0900,0.9,24,T
1615,19980508:0900,0.2,24,T
1615,19980509:0900,0.8,24,T
1615,19980510:0900,0.7,24,T
1615,19980511:0900,0.4,24,T
1615,19980512:0900,0.6,24,T
1615,19980513:0900,0.9,24,T
1615,19980514:0900,0.3,24,T
1615,19980515:0900,0.7,24,T
1615,19980516:0900,0.6,24,T
1615,19980517:0900,0.5,24,T
1615,19980518:0900,0.9,24,T
1615,19980519:0900,0.4,24,T
1615,19980520:0900,0.6,24,T
1615,19980521:0900,0.4,24,T
1615,19980522:0900,0.4,24,T
1615,19980523:0900,0.5,24,T
1615,19980524:0900,0.6,24,T
1615,19980525:0900,0.7,24,T
1615,19980526:0900,0.4,24,T
1615,19980527:0900,0.7,24,T
