Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
17,Mean Daily Global Radiation,Mj/Sq M
35,Total Priestley-Taylor Potential Evapo-Transpiration,Mm
66,Mean Deficit Of Soil Moisture (Wbal Awc=150mm),Mm
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
1567,Oct-2005,66,5.7,-,
1567,Nov-2005,00,94.2,-,
1567,Nov-2005,66,43.1,-,
1567,Dec-2005,00,316.6,-,
1567,Dec-2005,66,15.1,-,
1567,Jan-2006,00,306.2,-,
1567,Jan-2006,66,35.5,-,
1567,Feb-2006,00,154.9,-,
1567,Feb-2006,66,26.1,-,
1567,Mar-2006,00,229.4,-,
1567,Mar-2006,66,53.0,-,
1567,Apr-2006,00,346.2,-,
1567,Apr-2006,66,1.7,-,
1567,May-2006,00,238.9,-,
1567,May-2006,66,1.0,-,
1567,Jun-2006,00,142.5,-,
1567,Jun-2006,66,1.4,-,
1567,Jul-2006,00,132.9,-,
1567,Jul-2006,66,2.4,-,
1567,Aug-2006,00,283.7,-,
1567,Aug-2006,66,1.6,-,
1567,Sep-2006,00,65.0,-,
1567,Sep-2006,66,16.6,-,
1567,Oct-2006,00,112.1,-,
1567,Oct-2006,66,13.4,-,
1567,Nov-2006,00,126.9,-,
1567,Nov-2006,66,11.9,-,
1567,Dec-2006,00,119.4,-,
1567,Dec-2006,66,14.8,-,
1567,Feb-2007,00,56.8,-,
1567,Mar-2007,00,343.8,-,
1567,Apr-2007,00,156.2,-,
1567,Apr-2007,66,5.7,-,
1567,May-2007,00,52.4,-,
1567,May-2007,66,5.6,-,
1567,Sep-2007,00,171.7,-,
1567,Oct-2007,00,241.7,-,
1567,Oct-2007,66,7.5,-,
1567,Nov-2007,00,67.1,-,
1567,Nov-2007,66,47.5,-,
1567,Dec-2007,00,161.3,-,
1567,Dec-2007,66,28.8,-,
1567,Jan-2008,00,100.9,-,
1567,Jan-2008,66,68.6,-,
1567,Feb-2008,00,224.5,-,
1567,Feb-2008,66,60.8,-,
1567,Mar-2008,00,55.7,-,
1567,Mar-2008,66,35.1,-,
1567,Apr-2008,00,398.0,-,
1567,Apr-2008,66,29.7,-,
1567,May-2008,00,184.0,-,
1567,May-2008,66,4.6,-,
1567,Jun-2008,00,358.9,-,
1567,Jun-2008,66,5.8,-,
1567,Jul-2008,00,467.9,-,
1567,Jul-2008,66,0.6,-,
1567,Aug-2008,00,341.6,-,
1567,Aug-2008,66,1.0,-,
1567,Sep-2008,00,168.8,-,
1567,Sep-2008,66,5.8,-,
1567,Oct-2008,00,158.1,-,
1567,Oct-2008,66,7.7,-,
1567,Nov-2008,00,114.2,-,
1567,Nov-2008,66,32.6,-,
1567,Dec-2008,00,206.6,-,
1567,Dec-2008,66,21.4,-,
1567,Jan-2009,00,118.4,-,
1567,Jan-2009,66,23.9,-,
1567,Feb-2009,00,209.6,-,
1567,Feb-2009,66,72.1,-,
1567,Mar-2009,00,285.7,-,
1567,Mar-2009,66,17.1,-,
1567,Apr-2009,00,180.9,-,
1567,Apr-2009,66,33.9,-,
1567,May-2009,00,120.7,-,
1567,May-2009,66,0.9,-,
1567,Jun-2009,00,401.1,-,
1567,Jun-2009,66,2.0,-,
1567,Jul-2009,00,279.5,-,
1567,Jul-2009,66,0.5,-,
1567,Aug-2009,00,350.2,-,
1567,Aug-2009,66,2.2,-,
1567,Sep-2009,00,99.2,-,
1567,Sep-2009,66,16.0,-,
1567,Oct-2009,00,194.0,-,
1567,Oct-2009,66,8.5,-,
1567,Nov-2009,00,29.6,-,
1567,Nov-2009,66,60.3,-,
1567,Dec-2009,00,146.2,-,
1567,Dec-2009,66,46.8,-,
