"year","week","rainfall","evapotranspiration"
2012,22,14.3,2.8999999999999995
2013,22,10.4,3.3
2014,22,15.566666666666666,2.7
2015,22,3.966666666666667,2.9
2016,22,33.06666666666667,2.4
2017,22,6.466666666666667,3.5999999999999996
1997,23,86.08333333333334,1.6
1998,23,16.366666666666667,2.3
1999,23,32.53333333333333,2.1
2000,23,15.4,1.5999999999999999
2001,23,2.066666666666667,1.7000000000000002
2002,23,3.633333333333333,2.1999999999999997
2003,23,23.53333333333333,2.9000000000000004
2004,23,26.03333333333333,1.9
2005,23,4.833333333333333,1.8
2006,23,10.8,2.0
2007,23,15.333333333333334,2.4000000000000004
2008,23,10.8,2.5
2009,23,0.0,1.8
2011,23,84.6,2.7
2012,23,27.333333333333332,2.4999999999999996
2013,23,52.0,1.8
2014,23,13.966666666666667,2.6
2015,23,82.0,2.6000000000000005
2016,23,35.36666666666666,2.3000000000000003
2017,23,5.8,2.3
1997,24,29.266666666666666,1.7000000000000002
1998,24,127.10000000000001,1.7000000000000002
1999,24,38.73333333333333,2.1
2000,24,2.4,1.4
2001,24,42.36666666666667,1.2000000000000002
2002,24,35.733333333333334,1.9000000000000004
2003,24,37.93333333333334,2.1
2004,24,17.433333333333334,1.5
2005,24,48.199999999999996,1.1000000000000003
2006,24,36.43333333333333,1.5999999999999999
2007,24,17.799999999999997,1.7000000000000002
2008,24,2.733333333333333,1.7000000000000002
2009,24,173.39999999999998,1.4000000000000004
2011,24,26.1,2.1
2012,24,0.0,1.3000000000000003
2013,24,83.26666666666667,2.1
2014,24,234.33333333333331,1.5
2015,24,3.633333333333333,2.0
2016,24,4.6000000000000005,2.0
2017,24,31.53333333333333,2.0000000000000004
1997,25,52.49999999999999,1.7000000000000002
1998,25,36.233333333333334,1.3
1999,25,1.2,0.9999999999999999
2000,25,9.733333333333334,1.8
2001,25,7.966666666666667,1.7000000000000002
2002,25,67.5,1.3
2003,25,53.93333333333333,2.1
2004,25,74.60000000000001,1.7000000000000002
2005,25,90.3,1.5
2006,25,14.766666666666666,1.0
2007,25,48.8,1.3
2008,25,117.73333333333332,1.2
2009,25,4.1,1.2999999999999998
2011,25,37.00000000000001,2.0
2012,25,35.66666666666667,1.9000000000000001
2013,25,77.16666666666667,1.9
2014,25,20.46666666666667,2.0
2015,25,24.53333333333333,1.2
2016,25,133.93333333333334,1.2000000000000002
2017,25,75.65,1.9000000000000001
1997,26,3.6333333333333333,1.3000000000000003
1998,26,27.766666666666666,1.6
1999,26,17.266666666666666,0.9999999999999999
2000,26,83.9,1.6000000000000003
2001,26,17.566666666666663,1.8
2002,26,50.2,2.1
2003,26,26.23333333333333,1.1
2004,26,19.03333333333333,1.5999999999999999
2005,26,0.0,1.0
2006,26,0.0,1.2
2007,26,92.4,0.8999999999999999
2008,26,123.1,0.9999999999999999
2009,26,20.666666666666668,0.7999999999999999
2011,26,8.733333333333334,1.5999999999999999
2012,26,22.8,1.8
2013,26,2.0,1.1
2014,26,61.53333333333333,1.7
2015,26,4.333333333333333,1.7000000000000002
2016,26,86.13333333333334,2.0
2017,26,42.13333333333333,1.8
1997,27,95.70000000000002,1.4
1998,27,84.53333333333333,1.2999999999999998
1999,27,11.066666666666666,1.9
2000,27,10.4,1.3
2001,27,0.0,0.8999999999999999
2002,27,80.66666666666666,1.6000000000000003
2003,27,33.56666666666666,1.7
2004,27,48.8,1.2
2005,27,73.83333333333333,1.8
2006,27,22.1,1.7
2007,27,73.55,1.8000000000000003
2008,27,20.566666666666666,1.5000000000000002
2009,27,102.89999999999998,1.0
2011,27,47.06666666666666,1.9000000000000004
2012,27,99.13333333333334,1.7
2013,27,6.866666666666667,2.5
2014,27,35.166666666666664,1.6999999999999997
2015,27,13.466666666666669,2.0
2016,27,43.4,1.7000000000000002
2017,27,126.33333333333334,1.9000000000000001
1997,28,22.766666666666666,1.9000000000000001
1998,28,174.43333333333334,1.3
1999,28,163.36666666666667,2.0
2000,28,10.833333333333334,1.7
2001,28,2.9,1.2999999999999998
2002,28,50.733333333333334,1.9000000000000004
2003,28,4.666666666666666,1.2999999999999998
2004,28,23.866666666666667,1.8
2005,28,120.1,2.3
2006,28,17.066666666666666,2.5
2007,28,19.4,1.4000000000000001
2008,28,31.233333333333334,1.2999999999999998
2009,28,51.46666666666667,1.5
2011,28,58.53333333333333,2.4
2012,28,0.6,2.1
2013,28,40.73333333333333,2.0000000000000004
2014,28,106.2,1.6
2015,28,25.43333333333333,1.9
2016,28,56.33333333333334,2.5
2017,28,21.96666666666667,2.2
1997,29,10.966666666666665,1.7999999999999998
1998,29,133.76666666666665,2.2
1999,29,56.33333333333333,2.8000000000000003
2000,29,103.5,2.3
2001,29,45.766666666666666,2.4
2002,29,0.0,2.5
2003,29,4.299999999999999,1.9
2004,29,105.86666666666667,1.5999999999999999
2005,29,29.166666666666664,2.4
2006,29,75.06666666666666,2.3
2007,29,110.89999999999999,2.2
2008,29,58.4,2.1
2009,29,65.56666666666666,1.4000000000000001
2010,29,52.13333333333333,1.6
2011,29,21.566666666666663,2.5999999999999996
2012,29,73.93333333333334,2.5
2013,29,4.433333333333334,2.1999999999999997
2014,29,3.283333333333333,2.8
2015,29,60.13333333333333,1.8
2016,29,62.96666666666667,3.3
2017,29,78.9,2.4
1997,30,0.6,3.5000000000000004
1998,30,33.96666666666667,2.1
1999,30,9.733333333333333,3.4
2000,30,39.63333333333333,3.2000000000000006
2001,30,0.2333333333333333,2.9
2002,30,45.06666666666667,3.3
2003,30,0.0,3.0
2004,30,11.9,2.5
2005,30,16.333333333333332,3.9000000000000004
2006,30,0.0,3.6
2007,30,1.3,3.2
2008,30,97.03333333333333,2.5
2009,30,25.566666666666663,3.1999999999999997
2010,30,9.766666666666667,4.2
2011,30,14.933333333333332,3.5999999999999996
2012,30,167.33333333333334,3.0
2013,30,1.7,3.3000000000000003
2014,30,13.966666666666667,3.2
2015,30,13.799999999999999,3.0
2016,30,75.83333333333333,3.1
2017,30,6.066666666666666,4.1
1997,31,15.799999999999999,3.4000000000000004
1998,31,31.900000000000002,3.8000000000000003
1999,31,62.8,3.8
2000,31,32.16666666666667,4.2
2001,31,11.633333333333333,4.0
2002,31,9.733333333333333,4.1000000000000005
2003,31,78.19999999999999,2.1
2004,31,39.93333333333333,3.0
2005,31,30.3,4.7
2006,31,91.26666666666667,3.8
2007,31,127.69999999999999,3.6000000000000005
2008,31,174.5,3.0
2009,31,45.93333333333332,3.2
2010,31,136.33333333333331,3.6
2011,31,0.9333333333333333,4.5
2012,31,178.10000000000002,3.8
2013,31,10.966666666666667,3.8999999999999995
2014,31,18.599999999999998,5.4
2015,31,44.400000000000006,3.5
2016,31,29.866666666666667,3.7
2017,31,4.800000000000001,4.2
1997,32,0.0,4.5
1998,32,0.26666666666666666,4.8
1999,32,11.533333333333331,5.699999999999999
2000,32,16.9,5.4
2001,32,23.700000000000003,5.5
2002,32,55.66666666666667,4.0
2003,32,13.166666666666668,4.3999999999999995
2004,32,69.23333333333333,3.8
2005,32,41.733333333333334,4.8
2006,32,99.36666666666667,4.8
2007,32,9.1,6.1
2008,32,32.800000000000004,4.3999999999999995
2009,32,4.566666666666666,5.799999999999999
2010,32,98.79999999999998,4.999999999999999
2011,32,50.800000000000004,6.0
2012,32,67.63333333333333,6.000000000000001
2013,32,9.366666666666667,6.2
2014,32,35.03333333333334,4.6000000000000005
2015,32,85.7,5.1
2016,32,6.066666666666666,4.1
2017,32,51.86666666666666,5.5
1997,33,38.266666666666666,4.9
1998,33,117.49999999999999,6.7
1999,33,59.56666666666667,4.9
2000,33,50.233333333333334,7.0
2001,33,7.499999999999999,6.199999999999999
